ActionID,APIID,Request,RequestTime,Response,ResponseTime
1,1,"{""model"": ""anthropic/claude-3-haiku-20240307"", ""messages"": [{""role"": ""system"", ""content"": ""You are a helpful English conversation teacher. Help the user practice English conversation naturally and provide corrections when needed.""}, {""role"": ""user"", ""content"": ""hello""}]}",2025-12-19 00:28:03,,
2,1,"{""model"": ""anthropic/claude-haiku-4-5-20251001"", ""messages"": [{""role"": ""system"", ""content"": ""You are a helpful English conversation teacher. Help the user practice English conversation naturally and provide corrections when needed.""}, {""role"": ""user"", ""content"": ""hello""}]}",2025-12-19 00:33:02,,
3,1,"{""model"": ""anthropic/claude-3-haiku-20240307"", ""messages"": [{""role"": ""system"", ""content"": ""You are a helpful English conversation teacher. Help the user practice English conversation naturally and provide corrections when needed.""}, {""role"": ""user"", ""content"": ""hello""}]}",2025-12-19 00:37:13,,
4,1,"{""model"": ""anthropic/claude-sonnet-4-20250514"", ""messages"": [{""role"": ""system"", ""content"": ""You are a helpful English conversation teacher. Help the user practice English conversation naturally and provide corrections when needed.""}, {""role"": ""user"", ""content"": ""hello""}]}",2025-12-19 00:38:08,,
5,1,"{""model"": ""anthropic/claude-sonnet-4-20250514"", ""messages"": [{""role"": ""system"", ""content"": ""You are a helpful English conversation teacher. Help the user practice English conversation naturally and provide corrections when needed.""}, {""role"": ""user"", ""content"": ""hello""}]}",2025-12-19 00:43:14,,
6,1,"{""model"": ""anthropic/claude-sonnet-4-20250514"", ""messages"": [{""role"": ""system"", ""content"": ""You are a helpful English conversation teacher. Help the user practice English conversation naturally and provide corrections when needed.""}, {""role"": ""user"", ""content"": ""hello""}]}",2025-12-19 00:55:34,,
7,1,"{""model"": ""anthropic/claude-sonnet-4-20250514"", ""messages"": [{""role"": ""system"", ""content"": ""You are a helpful English conversation teacher. Help the user practice English conversation naturally and provide corrections when needed.""}, {""role"": ""user"", ""content"": ""hello""}]}",2025-12-19 00:58:03,"{""response"": ""Hello! It's nice to meet you. How are you doing today?\n\nI'm here to help you practice English conversation. We can talk about anything you'd like - your day, hobbies, plans, or any topic that interests you. Feel free to speak naturally, and I'll gently help with any corrections if needed.\n\nWhat would you like to chat about?"", ""model"": ""claude-sonnet-4-20250514"", ""usage"": {""prompt_tokens"": 29, ""completion_tokens"": 81, ""total_tokens"": 110}}",2025-12-19 00:58:07
8,3,"{""text"": ""Hello! It's nice to meet you. How are you doing today?\n\nI'm here to help you practice English conversation. We can talk about anything you'd like - your day, hobbies, plans, or any topic that interests you. Feel free to speak naturally, and I'll gently help with any corrections if needed.\n\nWhat would you like to chat about?"", ""voice_id"": ""JBFqnCBsd6RMkjVDRZzb"", ""model_id"": ""eleven_multilingual_v2"", ""format"": ""mp3""}",2025-12-19 00:58:15,"{""audio_path"": ""C:\\Users\\Tien Uy Doan\\Desktop\\NMCNPM\\backend\\data\\audio\\tts_009baf098337e09159a8931ff70bd3ff.mp3"", ""audio_size"": 308080, ""voice_id"": ""JBFqnCBsd6RMkjVDRZzb"", ""model_id"": ""eleven_multilingual_v2""}",2025-12-19 00:58:21
9,3,"{""text"": ""Hello! It's nice to meet you. How are you doing today?\n\nI'm here to help you practice English conversation. We can talk about anything you'd like - your day, hobbies, plans, or any topic that interests you. Feel free to speak naturally, and I'll gently help with any corrections if needed.\n\nWhat would you like to chat about?"", ""voice_id"": ""JBFqnCBsd6RMkjVDRZzb"", ""model_id"": ""eleven_multilingual_v2"", ""format"": ""mp3""}",2025-12-19 00:58:21,"{""audio_path"": ""C:\\Users\\Tien Uy Doan\\Desktop\\NMCNPM\\backend\\data\\audio\\tts_abb9a9906d89de23a7ff1cdcdd4397bc.mp3"", ""audio_size"": 320201, ""voice_id"": ""JBFqnCBsd6RMkjVDRZzb"", ""model_id"": ""eleven_multilingual_v2""}",2025-12-19 00:58:27
10,2,"{""audio_format"": ""wav"", ""language"": ""eng"", ""audio_size"": 162584, ""model"": ""scribe_v1""}",2025-12-19 00:59:24,"{""transcript"": ""Hello, um, good evening. Uh, maybe we talk about, uh, sleep."", ""model"": ""scribe_v1""}",2025-12-19 00:59:25
11,1,"{""model"": ""anthropic/claude-sonnet-4-20250514"", ""messages"": [{""role"": ""system"", ""content"": ""You are a helpful English conversation teacher. Help the user practice English conversation naturally and provide corrections when needed.""}, {""role"": ""user"", ""content"": ""hello""}, {""role"": ""assistant"", ""content"": ""Hello! It's nice to meet you. How are you doing today?\n\nI'm here to help you practice English conversation. We can talk about anything you'd like - your day, hobbies, plans, or any topic that interests you. Feel free to speak naturally, and I'll gently help with any corrections if needed.\n\nWhat would you like to chat about?""}, {""role"": ""user"", ""content"": ""Hello, um, good evening. Uh, maybe we talk about, uh, sleep.""}]}",2025-12-19 00:59:31,"{""response"": ""Good evening! That's a great topic to talk about - sleep is something we all experience every day.\n\n**Small correction**: Instead of \""maybe we talk about,\"" you could say \""maybe we can talk about\"" or \""maybe we could talk about.\"" \n\nSo, tell me about your sleep habits! What time do you usually go to bed? And do you consider yourself a good sleeper, or do you sometimes have trouble sleeping?"", ""model"": ""claude-sonnet-4-20250514"", ""usage"": {""prompt_tokens"": 134, ""completion_tokens"": 93, ""total_tokens"": 227}}",2025-12-19 00:59:35
12,3,"{""text"": ""Good evening! That's a great topic to talk about - sleep is something we all experience every day.\n\n**Small correction**: Instead of \""maybe we talk about,\"" you could say \""maybe we can talk about\"" or \""maybe we could talk about.\"" \n\nSo, tell me about your sleep habits! What time do you usually go to bed? And do you consider yourself a good sleeper, or do you sometimes have trouble sleeping?"", ""voice_id"": ""JBFqnCBsd6RMkjVDRZzb"", ""model_id"": ""eleven_multilingual_v2"", ""format"": ""mp3""}",2025-12-19 00:59:37,"{""audio_path"": ""C:\\Users\\Tien Uy Doan\\Desktop\\NMCNPM\\backend\\data\\audio\\tts_3a8e2c92b9bd6889a05cee7e63602821.mp3"", ""audio_size"": 379551, ""voice_id"": ""JBFqnCBsd6RMkjVDRZzb"", ""model_id"": ""eleven_multilingual_v2""}",2025-12-19 00:59:43
13,1,"{""model"": ""anthropic/claude-sonnet-4-20250514"", ""messages"": [{""role"": ""system"", ""content"": ""You are a helpful English conversation teacher. Help the user practice English conversation naturally and provide corrections when needed.""}, {""role"": ""user"", ""content"": ""hello""}]}",2025-12-19 01:14:17,"{""response"": ""Hello! It's nice to meet you. How are you doing today? \n\nI'm here to help you practice English conversation. We can talk about anything you'd like - your day, your hobbies, current events, or any topic that interests you. Feel free to speak naturally, and I'll gently help with any corrections if needed.\n\nWhat would you like to chat about?"", ""model"": ""claude-sonnet-4-20250514"", ""usage"": {""prompt_tokens"": 29, ""completion_tokens"": 84, ""total_tokens"": 113}}",2025-12-19 01:14:21
14,3,"{""text"": ""Hello! It's nice to meet you. How are you doing today? \n\nI'm here to help you practice English conversation. We can talk about anything you'd like - your day, your hobbies, current events, or any topic that interests you. Feel free to speak naturally, and I'll gently help with any corrections if needed.\n\nWhat would you like to chat about?"", ""voice_id"": ""JBFqnCBsd6RMkjVDRZzb"", ""model_id"": ""eleven_multilingual_v2"", ""format"": ""mp3""}",2025-12-19 01:14:24,"{""audio_path"": ""C:\\Users\\Tien Uy Doan\\Desktop\\NMCNPM\\backend\\data\\audio\\tts_d24a17829d0194e5e73b85ffa2dc4af9.mp3"", ""audio_size"": 327725, ""voice_id"": ""JBFqnCBsd6RMkjVDRZzb"", ""model_id"": ""eleven_multilingual_v2""}",2025-12-19 01:14:29
15,2,"{""audio_format"": ""wav"", ""language"": ""eng"", ""audio_size"": 98828, ""model"": ""scribe_v1""}",2025-12-19 01:15:06,"{""transcript"": ""Ah, could you suggest some topics, ah, for tonight?"", ""model"": ""scribe_v1""}",2025-12-19 01:15:07
